name,slug,category,subcategory,description,mrp,price,sku,stock,image_urls
HN-1 Fiber Planter,hn-1-fiber-planter,Fiber Pots & Planters,Tall Planters,HN-1 tall fiber planter,515000,515000,FIB-TALL-HN1,60,
HN-2 Fiber Planter,hn-2-fiber-planter,Fiber Pots & Planters,Tall Planters,HN-2 tall fiber planter,844900,844900,FIB-TALL-HN2,60,
Mall Fiber Planter,mall-fiber-planter,Fiber Pots & Planters,Tall Planters,Mall series tall fiber planter,1399900,1399900,FIB-TALL-MALL,50,
Ashok Fiber Planter,ashok-fiber-planter,Fiber Pots & Planters,Tall Planters,Ashok tall fiber planter,654900,654900,FIB-TALL-ASHOK,60,
Caladium 1 Fiber Planter,caladium-1-fiber-planter,Fiber Pots & Planters,Tall Planters,Caladium 1 tall fiber planter,874900,874900,FIB-TALL-CALADIUM1,60,
Lilium Round Fiber Planter,lilium-round-fiber-planter,Fiber Pots & Planters,Tall Planters,Lilium round tall fiber planter,699900,699900,FIB-TALL-LILIUM,60,
Kewda Carve Fiber Planter,kewda-carve-fiber-planter,Fiber Pots & Planters,Tall Planters,Kewda carve tall fiber planter,654900,654900,FIB-TALL-KEWDA,60,
Magnolia Round Fiber Planter,magnolia-round-fiber-planter,Fiber Pots & Planters,Tall Planters,Magnolia round tall fiber planter,874900,874900,FIB-TALL-MAGNOLIA,60,
Strawberry Square Fiber Planter,strawberry-square-fiber-planter,Fiber Pots & Planters,Tall Planters,Strawberry square tall fiber planter,544900,544900,FIB-TALL-STRAWBERRY,60,
Bellis Square Fiber Planter,bellis-square-fiber-planter,Fiber Pots & Planters,Tall Planters,Bellis square tall fiber planter,639900,639900,FIB-TALL-BELLIS,60,
Vinca Curve Base Fiber Planter,vinca-curve-base-fiber-planter,Fiber Pots & Planters,Tall Planters,Vinca curve base tall fiber planter,654900,654900,FIB-TALL-VINCA,60,
Zinnia Round Fiber Planter,zinnia-round-fiber-planter,Fiber Pots & Planters,Tall Planters,Zinnia round tall fiber planter,614900,614900,FIB-TALL-ZINNIA,60,
Datura Fiber Planter,datura-fiber-planter,Fiber Pots & Planters,Tall Planters,Datura tall fiber planter,679900,679900,FIB-TALL-DATURA,60,
Pandanus Square Fiber Planter,pandanus-square-fiber-planter,Fiber Pots & Planters,Tall Planters,Pandanus square tall fiber planter,654900,654900,FIB-TALL-PANDANUS,60,
Daylily Fiber Planter,daylily-fiber-planter,Fiber Pots & Planters,Tall Planters,Daylily tall fiber planter,654900,654900,FIB-TALL-DAYLILY,60,
Desert Rose Fiber Planter,desert-rose-fiber-planter,Fiber Pots & Planters,Tall Planters,Desert rose tall fiber planter,1419900,1419900,FIB-TALL-DESERT-ROSE,50,
Mysticline Fiber Planter,mysticline-fiber-planter,Fiber Pots & Planters,Tall Planters,Mysticline tall fiber planter,214900,214900,FIB-TALL-MYSTICLINE,60,
Designer Elegance Slate Fiber Planter,designer-elegance-slate-fiber-planter,Fiber Pots & Planters,Tall Planters,Designer elegance slate tall fiber planter,444900,444900,FIB-TALL-ELEG-SLATE,60,
GRP Elegance Bamboo Fiber Planter,grp-elegance-bamboo-fiber-planter,Fiber Pots & Planters,Tall Planters,GRP elegance bamboo tall fiber planter,444900,444900,FIB-TALL-GRP-BAMBOO,60,
Star Fiber Planter,star-fiber-planter,Fiber Pots & Planters,Tall Planters,Star series tall fiber planter,479900,479900,FIB-TALL-STAR,60,
Bird Of Paradise Fiber Planter,bird-of-paradise-fiber-planter,Fiber Pots & Planters,Tall Planters,Bird of Paradise tall fiber planter,1419900,1419900,FIB-TALL-BIRD-PARADISE,50,
Elegance Steel Mosaic Fiber Planter,elegance-steel-mosaic-fiber-planter,Fiber Pots & Planters,Tall Planters,Steel mosaic tall fiber planter,264900,264900,FIB-TALL-STEEL-MOSAIC,60,
Dwarpal Fiber Planter,dwarpal-fiber-planter,Fiber Pots & Planters,Tall Planters,Dwarpal tall fiber planter,354900,354900,FIB-TALL-DWARPAL,60,
Wood Point Fiber Planter,wood-point-fiber-planter,Fiber Pots & Planters,Cube Planters,Wood point cube fiber planter,144900,144900,FIB-CUBE-WOOD-POINT,60,
Notch White & Black Fiber Planter,notch-white-black-fiber-planter,Fiber Pots & Planters,Cube Planters,Notch white & black cube fiber planter,554900,554900,FIB-CUBE-NOTCH-WB,60,
Small Pebble Fiber Planter,small-pebble-fiber-planter,Fiber Pots & Planters,Cube Planters,Small pebble cube fiber planter,309900,309900,FIB-CUBE-PEBBLE-SM,60,
Cuboid 100 Black & Golden Fiber Planter,cuboid-100-black-golden-fiber-planter,Fiber Pots & Planters,Cube Planters,Cuboid 100 black & golden cube fiber planter,3249900,3249900,FIB-CUBE-CUBOID-100,30,
Delta Wooden Fiber Planter,delta-wooden-fiber-planter,Fiber Pots & Planters,Cube Planters,Delta wooden cube fiber planter,429900,429900,FIB-CUBE-DELTA-WOOD,60,
Axis Gray Fiber Planter,axis-gray-fiber-planter,Fiber Pots & Planters,Cube Planters,Axis gray cube fiber planter,1149900,1149900,FIB-CUBE-AXIS-GRAY,50,
Champa Square Fiber Planter,champa-square-fiber-planter,Fiber Pots & Planters,Cube Planters,Champa square cube fiber planter,189900,189900,FIB-CUBE-CHAMPA,60,
Anemone Square Fiber Planter,anemone-square-fiber-planter,Fiber Pots & Planters,Cube Planters,Anemone square cube fiber planter,219900,219900,FIB-CUBE-ANEMONE,60,
TWINTO Square Fiber Planter,twinto-square-fiber-planter,Fiber Pots & Planters,Cube Planters,TWINTO square cube fiber planter,709900,709900,FIB-CUBE-TWINTO,60,
Carnations Square Fiber Planter,carnations-square-fiber-planter,Fiber Pots & Planters,Cube Planters,Carnations square cube fiber planter,339900,339900,FIB-CUBE-CARNATIONS,60,
Delphinium Square Fiber Planter,delphinium-square-fiber-planter,Fiber Pots & Planters,Cube Planters,Delphinium square cube fiber planter,699900,699900,FIB-CUBE-DELPHINIUM,60,
Patio Pond with Lid,patio-pond-with-lid,Fiber Pots & Planters,Cube Planters,Patio pond with lid decorative planter,1305900,1305900,FIB-CUBE-PATIO-POND,40,
Reliance Fiber Planter,reliance-fiber-planter,Fiber Pots & Planters,Rectangular Planters,Reliance rectangular fiber planter,1699900,1699900,FIB-RECT-RELIANCE,50,
"Wood Essence Fiber Planter (38 cm)",wood-essence-fiber-planter-38cm,Fiber Pots & Planters,Rectangular Planters,Wood essence rectangular fiber planter 38cm,168900,168900,FIB-RECT-WOOD-ESSENCE-38,60,
Wooden Truogh Fiber Planter,wooden-truogh-fiber-planter,Fiber Pots & Planters,Rectangular Planters,Wooden trough rectangular fiber planter,853900,853900,FIB-RECT-WOODEN-TROUGH,60,
Barrel Wood Rectangular Small Fiber Planter,barrel-wood-rectangular-small-fiber-planter,Fiber Pots & Planters,Rectangular Planters,Barrel wood small rectangular fiber planter,444900,444900,FIB-RECT-BARREL-SMALL,60,
"Wood Essence Fiber Planter 38 cm (Different Price)",wood-essence-fiber-planter-38cm-diff,Fiber Pots & Planters,Rectangular Planters,Wood essence rectangular fiber planter 38cm different price,919900,919900,FIB-RECT-WOOD-ESSENCE-38-2,60,
Borage Fiber Planter,borage-fiber-planter,Fiber Pots & Planters,Rectangular Planters,Borage rectangular fiber planter,659900,659900,FIB-RECT-BORAGE,60,
Flora Big Fiber Planter,flora-big-fiber-planter,Fiber Pots & Planters,Rectangular Planters,Flora big rectangular fiber planter,2119900,2119900,FIB-RECT-FLORA-BIG,50,
Big Grill Fiber Planter,big-grill-fiber-planter,Fiber Pots & Planters,Rectangular Planters,Big grill rectangular fiber planter,339900,339900,FIB-RECT-BIG-GRILL,60,
Bamboo Conduit Fiber Planter,bamboo-conduit-fiber-planter,Fiber Pots & Planters,Rectangular Planters,Bamboo conduit rectangular fiber planter,96900,96900,FIB-RECT-BAMBOO-CONDUIT,60,
Panama Fiber Planter,panama-fiber-planter,Fiber Pots & Planters,Rectangular Planters,Panama rectangular fiber planter,3169900,3169900,FIB-RECT-PANAMA,30,
Hanging Egyptian Fiber Planter,hanging-egyptian-fiber-planter,Fiber Pots & Planters,Wall Mounted Planters,Hanging Egyptian wall mounted fiber planter,189900,189900,FIB-WALL-EGYPTIAN,60,
Poinsettia 1 Fiber Planter,poinsettia-1-fiber-planter,Fiber Pots & Planters,Wall Mounted Planters,Poinsettia 1 wall mounted fiber planter,109900,109900,FIB-WALL-POINSETTIA1,60,
Wall Hang Hexic Fiber Planter,wall-hang-hexic-fiber-planter,Fiber Pots & Planters,Wall Mounted Planters,Hexic wall hanging fiber planter,264900,264900,FIB-WALL-HEXIC,60,
Wooden Art Fiber Planter,wooden-art-fiber-planter,Fiber Pots & Planters,Wall Mounted Planters,Wooden art wall mounted fiber planter,679900,679900,FIB-WALL-WOODEN-ART,60,
Stone Bamboo Illusion Fiber Planter,stone-bamboo-illusion-fiber-planter,Fiber Pots & Planters,Wall Mounted Planters,Stone bamboo illusion wall mounted fiber planter,679900,679900,FIB-WALL-STONE-BAMBOO,60,
Poinsettia 2 Fiber Planter,poinsettia-2-fiber-planter,Fiber Pots & Planters,Wall Mounted Planters,Poinsettia 2 wall mounted fiber planter,164900,164900,FIB-WALL-POINSETTIA2,60,
Ranunculus Fiber Planter,ranunculus-fiber-planter,Fiber Pots & Planters,Wall Mounted Planters,Ranunculus wall mounted fiber planter,359900,359900,FIB-WALL-RANUNCULUS,60,
Zarokha Fiber Planter,zarokha-fiber-planter,Fiber Pots & Planters,Wall Mounted Planters,Zarokha wall mounted fiber planter,444900,444900,FIB-WALL-ZAROKHA,60,
Moon Fiber Planter,moon-fiber-planter,Fiber Pots & Planters,Creative Planter Designs,Moon creative fiber planter,1699900,1699900,FIB-CRTV-MOON,50,
Hanging Basket Fiber Planter,hanging-basket-fiber-planter,Fiber Pots & Planters,Creative Planter Designs,Hanging basket creative fiber planter,184900,184900,FIB-CRTV-HANGING-BASKET,60,
Pentas Round Fiber Planter,pentas-round-fiber-planter,Fiber Pots & Planters,Creative Planter Designs,Pentas round creative fiber planter,984900,984900,FIB-CRTV-PENTAS,60,
Impatiens Oval Fiber Planter,impatiens-oval-fiber-planter,Fiber Pots & Planters,Creative Planter Designs,Impatiens oval creative fiber planter,919900,919900,FIB-CRTV-IMPATIENS-OVAL,60,
Lotus Fiber Planter,lotus-fiber-planter,Fiber Pots & Planters,Creative Planter Designs,Lotus creative fiber planter,184900,184900,FIB-CRTV-LOTUS,60,
Marvel White Fiber Planter,marvel-white-fiber-planter,Fiber Pots & Planters,Creative Planter Designs,Marvel white creative fiber planter,1399900,1399900,FIB-CRTV-MARVEL-WHITE,50,
Bird Bath Rock,bird-bath-rock,Fiber Pots & Planters,Creative Planter Designs,Bird bath decorative rock planter,864900,864900,FIB-CRTV-BIRD-BATH-ROCK,50,
VRINDAVAN Tulsi Fiber Planter,vrindavan-tulsi-fiber-planter,Fiber Pots & Planters,Creative Planter Designs,VRINDAVAN tulsi fiber planter,699900,699900,FIB-CRTV-VRINDAVAN-TULSI,60,
Ball Set Fiber Planter,ball-set-fiber-planter,Fiber Pots & Planters,Creative Planter Designs,Ball set decorative fiber planter,329900,329900,FIB-CRTV-BALL-SET,60,
Rock Fiber Planter,rock-fiber-planter,Fiber Pots & Planters,Creative Planter Designs,Rock style decorative fiber planter,919900,919900,FIB-CRTV-ROCK,60,
Set of 7 Rocks,set-of-7-rocks,Fiber Pots & Planters,Creative Planter Designs,Decorative set of 7 rocks,2979900,2979900,FIB-CRTV-SET-7-ROCKS,25,
Rainwater Harvest Rock,rainwater-harvest-rock,Fiber Pots & Planters,Creative Planter Designs,Rainwater harvest decorative rock,2399900,2399900,FIB-CRTV-RAINWATER-ROCK,25,
